Name,Time,Observed Date,X,Y,Layer,Observed,Computed,Weight,Group,Residual,,,
D-3,3308,6/22/1981,2275015.573,10432448.41,12,6551.1,6512.667621,1,1,38.432379,,6/1/1972,Simulation start time; add to 'Time' values to get observed dates
D-3,4150,10/12/1983,2275015.573,10432448.41,12,6541.81,6515.989091,1,1,25.820909,,6/1/2021,Simulation end time
D-3,4413,7/1/1984,2275015.573,10432448.41,12,6541.96,6515.767197,1,1,26.192803,,,
DH-10,543,11/26/1973,2274821.121,10432323.4,12,6503.7,6509.9557,1,1,-6.2557,,Observed is the measured water level or head,
DH-10,928,12/16/1974,2274821.121,10432323.4,12,6502.7,6510.285647,1,1,-7.585647,,Computed is the modeled water level or head,
DH-10,1292,12/15/1975,2274821.121,10432323.4,12,6510.7,6510.465261,1,1,0.234739,,,
DH-10,1670,12/27/1976,2274821.121,10432323.4,12,6512.7,6510.632867,1,1,2.067133,,1 plot of Observed vs Computed with different symbols by layer,
DH-10,2035,12/27/1977,2274821.121,10432323.4,12,6508.7,6510.771274,1,1,-2.071274,,1 plot of Observed vs Residual with different symbols by layer,
DH-10,2401,12/28/1978,2274821.121,10432323.4,12,6508.7,6510.661367,1,1,-1.961367,,,
DH-10,2764,12/26/1979,2274821.121,10432323.4,12,6509.7,6510.397562,1,1,-0.697562,,Plot Observed vs Computed for each well in a separate x-y plot,
DH-10,3133,12/29/1980,2274821.121,10432323.4,12,6507.7,6510.126782,1,1,-2.426782,,set x-axis to go from 6/1/1972 to 6/1/2021,
DH-10,3308,6/22/1981,2274821.121,10432323.4,12,6507.7,6510.125059,1,1,-2.425059,,set y-axis to same scale; either absolute scale or relative scale,
DH-10,3785,10/12/1982,2274821.121,10432323.4,12,6512.7,6512.751869,1,1,-0.051869,,,
DH-10,4139,10/1/1983,2274821.121,10432323.4,12,6514.7,6514.00293,1,1,0.69707,,,
DH-10,4505,10/1/1984,2274821.121,10432323.4,12,6518.7,6514.137612,1,1,4.562388,,,
DH-10,4870,10/1/1985,2274821.121,10432323.4,12,6514.7,6514.854669,1,1,-0.154669,,,
DH-10,5235,10/1/1986,2274821.121,10432323.4,12,6514.7,6515.968354,1,1,-1.268354,,,
DH-10,5600,10/1/1987,2274821.121,10432323.4,12,6515.7,6517.708333,1,1,-2.008333,,,
DH-10,5966,10/1/1988,2274821.121,10432323.4,12,6516.58,6519.243242,1,1,-2.663242,,,
DH-10,6278,8/9/1989,2274821.121,10432323.4,12,6515.6,6519.419472,1,1,-3.819472,,,
DM80-1,3470,12/1/1981,2273765.122,10435099.48,12,6554.2,6556.657817,1,1,-2.457817,,,
DM80-1,3785,10/12/1982,2273765.122,10435099.48,12,6553.2,6557.723801,1,1,-4.523801,,,
DM80-1,4150,10/12/1983,2273765.122,10435099.48,12,6553.29,6558.296968,1,1,-5.006968,,,
DM80-1,4516,10/12/1984,2273765.122,10435099.48,12,6552.88,6558.114552,1,1,-5.234552,,,
DM80-1,4881,10/12/1985,2273765.122,10435099.48,12,6552.54,6558.284146,1,1,-5.744146,,,
DM80-1,5235,10/1/1986,2273765.122,10435099.48,12,6552.18,6558.539262,1,1,-6.359262,,,
DM80-1,5600,10/1/1987,2273765.122,10435099.48,12,6552.04,6559.026042,1,1,-6.986042,,,
DM80-1,5966,10/1/1988,2273765.122,10435099.48,12,6551.58,6559.284319,1,1,-7.704319,,,
DM80-1,6301,9/1/1989,2273765.122,10435099.48,12,6551.45,6558.764798,1,1,-7.314798,,,
DM80-1,6757,12/1/1990,2273765.122,10435099.48,12,6552.13,6558.063234,1,1,-5.933234,,,
DM80-1,7031,9/1/1991,2273765.122,10435099.48,12,6552.28,6557.638541,1,1,-5.358541,,,
DM80-1,7397,9/1/1992,2273765.122,10435099.48,12,6552.08,6557.3398,1,1,-5.2598,,,
DM80-1,7670,6/1/1993,2273765.122,10435099.48,12,6551.98,6557.856934,1,1,-5.876934,,,
DM80-1,8218,12/1/1994,2273765.122,10435099.48,12,6552.4,6557.07333,1,1,-4.67333,,,
DM80-1,8522,10/1/1995,2273765.122,10435099.48,12,6551.8,6556.54248,1,1,-4.74248,,,
DM80-1,8888,10/1/1996,2273765.122,10435099.48,12,6551.6,6555.935021,1,1,-4.335021,,,
DM80-1,9314,12/1/1997,2273765.122,10435099.48,12,6551.42,6555.296422,1,1,-3.876422,,,
DM80-1,9679,12/1/1998,2273765.122,10435099.48,12,6551.26,6554.804036,1,1,-3.544036,,,
DM80-1,9800,4/1/1999,2273765.122,10435099.48,12,6551.42,6554.646376,1,1,-3.226376,,,
DM80-1,10410,12/1/2000,2273765.122,10435099.48,12,6551.3,6554.035722,1,1,-2.735722,,,
DM80-1,10714,10/1/2001,2273765.122,10435099.48,12,6551.2,6553.80169,1,1,-2.60169,,,
DM80-1,10865,3/1/2002,2273765.122,10435099.48,12,6551.2,6553.697053,1,1,-2.497053,,,
DM80-2,3961,4/6/1983,2275591.527,10430848.56,12,6544.43,6517.914088,1,1,26.515912,,,
DM80-2,6301,9/1/1989,2275591.527,10430848.56,12,6547.7,6525.73131,1,1,21.96869,,,
DM80-2,6757,12/1/1990,2275591.527,10430848.56,12,6547.2,6524.813547,1,1,22.386453,,,
DM80-2,7031,9/1/1991,2275591.527,10430848.56,12,6546.9,6523.125632,1,1,23.774368,,,
DM80-2,7397,9/1/1992,2275591.527,10430848.56,12,6546.59,6521.44747,1,1,25.14253,,,
DM80-2,7670,6/1/1993,2275591.527,10430848.56,12,6546.33,6522.188477,1,1,24.141523,,,
DM80-2,8218,12/1/1994,2275591.527,10430848.56,12,6545.97,6520.297492,1,1,25.672508,,,
DM80-2,8522,10/1/1995,2275591.527,10430848.56,12,6544.79,6518.302734,1,1,26.487266,,,
DM80-2,8888,10/1/1996,2275591.527,10430848.56,12,6545.81,6515.917926,1,1,29.892074,,,
DM80-2,9314,12/1/1997,2275591.527,10430848.56,12,6544.36,6513.265608,1,1,31.094392,,,
DM80-2,9679,12/1/1998,2275591.527,10430848.56,12,6545.55,6511.445957,1,1,34.104043,,,
DM80-2,9800,4/1/1999,2275591.527,10430848.56,12,6545.55,6510.952096,1,1,34.597904,,,
DM80-2,10410,12/1/2000,2275591.527,10430848.56,12,6544.3,6508.283841,1,1,36.016159,,,
DM80-2,10714,10/1/2001,2275591.527,10430848.56,12,6545.03,6506.408611,1,1,38.621389,,,
DM80-2,10865,3/1/2002,2275591.527,10430848.56,12,6544.96,6505.340024,1,1,39.619976,,,
DM80-3,9800,4/1/1999,2272826.776,10432256.12,12,6519.12,6496.399712,1,1,22.720288,,,
DM80-3,10410,12/1/2000,2272826.776,10432256.12,12,6519.09,6494.188811,1,1,24.901189,,,
DM80-3,10714,10/1/2001,2272826.776,10432256.12,12,6518.95,6492.00793,1,1,26.94207,,,
DM80-3,10865,3/1/2002,2272826.776,10432256.12,12,6520.7,6490.807841,1,1,29.892159,,,
DM80-4,3785,10/12/1982,2272683.554,10432110.72,12,6495.9,6506.887592,1,1,-10.987592,,,
DM80-4,4150,10/12/1983,2272683.554,10432110.72,12,6495.4,6508.456125,1,1,-13.056125,,,
DM80-4,4421,7/9/1984,2272683.554,10432110.72,12,6492.61,6508.907548,1,1,-16.297548,,,
DM80-4,6301,9/1/1989,2272683.554,10432110.72,12,6495.05,6514.59847,1,1,-19.54847,,,
DM80-4,6757,12/1/1990,2272683.554,10432110.72,12,6494.18,6512.452919,1,1,-18.272919,,,
DM80-4,7031,9/1/1991,2272683.554,10432110.72,12,6493.41,6509.55718,1,1,-16.14718,,,
DM80-4,7397,9/1/1992,2272683.554,10432110.72,12,6492.1,6507.717855,1,1,-15.617855,,,
DM80-4,7670,6/1/1993,2272683.554,10432110.72,12,6491.96,6509.125,1,1,-17.165,,,
DM80-4,8218,12/1/1994,2272683.554,10432110.72,12,6491.12,6505.914414,1,1,-14.794414,,,
DM80-4,8522,10/1/1995,2272683.554,10432110.72,12,6490.54,6503.241699,1,1,-12.701699,,,
DM80-4,8888,10/1/1996,2272683.554,10432110.72,12,6489.76,6500.554408,1,1,-10.794408,,,
DM80-4,9314,12/1/1997,2272683.554,10432110.72,12,6489.08,6497.713723,1,1,-8.633723,,,
DM80-4,9679,12/1/1998,2272683.554,10432110.72,12,6488.4,6496.591548,1,1,-8.191548,,,
DM80-4,9800,4/1/1999,2272683.554,10432110.72,12,6488.8,6496.413169,1,1,-7.613169,,,
DM80-4,10410,12/1/2000,2272683.554,10432110.72,12,6487.89,6494.229934,1,1,-6.339934,,,
DM80-4,10714,10/1/2001,2272683.554,10432110.72,12,6487.36,6492.108736,1,1,-4.748736,,,
DM80-4,10865,3/1/2002,2272683.554,10432110.72,12,6487.4,6490.9343,1,1,-3.5343,,,
DM80-4,11493,11/19/2003,2272683.554,10432110.72,12,6488.65,6486.874059,1,1,1.775941,,,
DM80-5,4150,10/12/1983,2272827.211,10432251.23,12,6491.89,6508.68913,1,1,-16.79913,,,
DM80-5,4413,7/1/1984,2272827.211,10432251.23,12,6493.31,6509.112572,1,1,-15.802572,,,
DM80-5,6279,8/10/1989,2272827.211,10432251.23,12,6495.58,6514.839703,1,1,-19.259703,,,
DM80-5,6757,12/1/1990,2272827.211,10432251.23,12,6495.89,6512.59082,1,1,-16.70082,,,
DM80-5,7031,9/1/1991,2272827.211,10432251.23,12,6495.18,6509.588163,1,1,-14.408163,,,
DM80-5,7397,9/1/1992,2272827.211,10432251.23,12,6494.49,6507.778378,1,1,-13.288378,,,
DM80-5,7670,6/1/1993,2272827.211,10432251.23,12,6494.41,6509.310059,1,1,-14.900059,,,
DM80-5,8218,12/1/1994,2272827.211,10432251.23,12,6488.73,6505.914739,1,1,-17.184739,,,
DM80-5,8522,10/1/1995,2272827.211,10432251.23,12,6491.55,6503.182943,1,1,-11.632943,,,
DM80-5,8888,10/1/1996,2272827.211,10432251.23,12,6493.18,6500.480145,1,1,-7.300145,,,
DM80-5,9314,12/1/1997,2272827.211,10432251.23,12,6492.06,6497.627597,1,1,-5.567597,,,
DM80-5,9465,5/1/1998,2272827.211,10432251.23,12,6491.62,6496.937156,1,1,-5.317156,,,
DM80-5,10044,12/1/1999,2272827.211,10432251.23,12,6485.12,6495.863525,1,1,-10.743525,,,
DM80-5,10191,4/26/2000,2272827.211,10432251.23,12,6488.42,6495.496598,1,1,-7.076598,,,
DM80-5,11298,5/8/2003,2272827.211,10432251.23,12,6489.77,6487.87151,1,1,1.89849,,,
EastWell,16757,4/18/2018,2264741.372,10438725.9,12,6353.03,6358.958899,1,1,-5.928899,,,
EastWell,17792,2/16/2021,2264741.372,10438725.9,12,6348.78,6360.711346,1,1,-11.931346,,,
EF-13,10022,11/9/1999,2276692.262,10434697.1,12,6571.6,6577.551583,1,1,-5.951583,,,
EF-13,10386,11/7/2000,2276692.262,10434697.1,12,6558.13,6575.667791,1,1,-17.537791,,,
EF-13,10729,10/16/2001,2276692.262,10434697.1,12,6548.26,6572.381669,1,1,-24.121669,,,
EF-13,11155,12/16/2002,2276692.262,10434697.1,12,6558.12,6573.369246,1,1,-15.249246,,,
EF-13,11491,11/17/2003,2276692.262,10434697.1,12,6556.98,6573.998311,1,1,-17.018311,,,
EF-13,11617,3/22/2004,2276692.262,10434697.1,12,6555.92,6572.95443,1,1,-17.03443,,,
EF-16,6658,8/24/1990,2278100.908,10432608.77,12,6609.64,6589.107188,1,1,20.532812,,,
EF-16,7130,12/9/1991,2278100.908,10432608.77,12,6606.04,6587.981692,1,1,18.058308,,,
EF-16,7466,11/9/1992,2278100.908,10432608.77,12,6603.26,6588.411376,1,1,14.848624,,,
EF-16,7684,6/15/1993,2278100.908,10432608.77,12,6603.58,6589.224971,1,1,14.355029,,,
EF-16,8218,12/1/1994,2278100.908,10432608.77,12,6600.62,6589.514612,1,1,11.105388,,,
EF-16,8522,10/1/1995,2278100.908,10432608.77,12,6598.08,6589.424642,1,1,8.655358,,,
EF-16,8888,10/1/1996,2278100.908,10432608.77,12,6597.5,6589.091306,1,1,8.408694,,,
EF-16,9314,12/1/1997,2278100.908,10432608.77,12,6596.52,6588.561542,1,1,7.958458,,,
EF-16,9679,12/1/1998,2278100.908,10432608.77,12,6595.3,6588.231988,1,1,7.068012,,,
EF-16,9800,4/1/1999,2278100.908,10432608.77,12,6596.2,6588.127098,1,1,8.072902,,,
EF-16,10410,12/1/2000,2278100.908,10432608.77,12,6595.24,6587.487128,1,1,7.752872,,,
EF-16,10500,3/1/2001,2278100.908,10432608.77,12,6595.95,6587.367452,1,1,8.582548,,,
EF-16,10865,3/1/2002,2278100.908,10432608.77,12,6594.19,6586.738574,1,1,7.451426,,,
EF-16,11299,5/9/2003,2278100.908,10432608.77,12,6594.72,6586.061862,1,1,8.658138,,,
EF-17,6425,1/3/1990,2278864.455,10432565.52,12,6599.34,6593.545992,1,1,5.794008,,,
EF-17,9548,7/23/1998,2278864.455,10432565.52,12,6595,6591.295239,1,1,3.704761,,,
EF-17,11299,5/9/2003,2278864.455,10432565.52,12,6593.53,6588.890967,1,1,4.639033,,,
EF-18,6423,1/1/1990,2278468.257,10432677.98,12,6618.25,6591.064678,1,1,27.185322,,,
EF-19,6390,11/29/1989,2273915.061,10436574.04,12,6541.88,6555.864845,1,1,-13.984845,,,
EF-19,6757,12/1/1990,2273915.061,10436574.04,12,6542.25,6555.231298,1,1,-12.981298,,,
EF-19,7031,9/1/1991,2273915.061,10436574.04,12,6542.59,6554.727763,1,1,-12.137763,,,
EF-19,7397,9/1/1992,2273915.061,10436574.04,12,6542.45,6554.359974,1,1,-11.909974,,,
EF-19,7670,6/1/1993,2273915.061,10436574.04,12,6542.51,6554.88916,1,1,-12.37916,,,
EF-19,8218,12/1/1994,2273915.061,10436574.04,12,6541.86,6554.288675,1,1,-12.428675,,,
EF-19,8522,10/1/1995,2273915.061,10436574.04,12,6542.03,6553.730632,1,1,-11.700632,,,
EF-19,8888,10/1/1996,2273915.061,10436574.04,12,6541.97,6553.0233,1,1,-11.0533,,,
EF-19,9314,12/1/1997,2273915.061,10436574.04,12,6541.63,6552.261127,1,1,-10.631127,,,
EF-19,9679,12/1/1998,2273915.061,10436574.04,12,6541.29,6551.700226,1,1,-10.410226,,,
EF-19,9800,4/1/1999,2273915.061,10436574.04,12,6541.47,6551.530426,1,1,-10.060426,,,
EF-19,10380,11/1/2000,2273915.061,10436574.04,12,6541.51,6550.804242,1,1,-9.294242,,,
EF-19,10714,10/1/2001,2273915.061,10436574.04,12,6541.16,6550.421823,1,1,-9.261823,,,
EF-19,11158,12/19/2002,2273915.061,10436574.04,12,6540.7,6549.913089,1,1,-9.213089,,,
EF-19,11493,11/19/2003,2273915.061,10436574.04,12,6540.43,6549.54152,1,1,-9.11152,,,
EF-19,11620,3/25/2004,2273915.061,10436574.04,12,6540.63,6549.406992,1,1,-8.776992,,,
EF-2,6704,10/9/1990,2273869.602,10431619.21,12,6506.01,6515.556065,1,1,-9.546065,,,
EF-2,7118,11/27/1991,2273869.602,10431619.21,12,6497.6,6508.795509,1,1,-11.195509,,,
EF-2,7460,11/3/1992,2273869.602,10431619.21,12,6499.44,6509.405742,1,1,-9.965742,,,
EF-2,7862,12/10/1993,2273869.602,10431619.21,12,6497.83,6510.204246,1,1,-12.374246,,,
EF-2,8231,12/14/1994,2273869.602,10431619.21,12,6492.73,6505.038951,1,1,-12.308951,,,
EF-2,8517,9/26/1995,2273869.602,10431619.21,12,6486.87,6501.554619,1,1,-14.684619,,,
EF-2,8974,12/26/1996,2273869.602,10431619.21,12,6483.99,6497.949017,1,1,-13.959017,,,
EF-2,9342,12/29/1997,2273869.602,10431619.21,12,6478.21,6495.776187,1,1,-17.566187,,,
EF-2,9654,11/6/1998,2273869.602,10431619.21,12,6476.03,6495.816769,1,1,-19.786769,,,
EF-2,10021,11/8/1999,2273869.602,10431619.21,12,6480.81,6495.850477,1,1,-15.040477,,,
EF-2,10392,11/13/2000,2273869.602,10431619.21,12,6476.84,6493.425106,1,1,-16.585106,,,
EF-2,10731,10/18/2001,2273869.602,10431619.21,12,6469.96,6489.662885,1,1,-19.702885,,,
EF-2,11158,12/19/2002,2273869.602,10431619.21,12,6463.28,6485.901517,1,1,-22.621517,,,
EF-2,11444,10/1/2003,2273869.602,10431619.21,12,6460.01,6484.052083,1,1,-24.042083,,,
EF-2,11621,3/26/2004,2273869.602,10431619.21,12,6458.21,6482.899267,1,1,-24.689267,,,
EF-20,6391,11/30/1989,2273853.574,10437530.5,12,6460.64,6554.936102,1,1,-94.296102,,,
EF-20,6757,12/1/1990,2273853.574,10437530.5,12,6545.79,6554.34807,1,1,-8.55807,,,
EF-20,7031,9/1/1991,2273853.574,10437530.5,12,6546.2,6553.901882,1,1,-7.701882,,,
EF-20,7397,9/1/1992,2273853.574,10437530.5,12,6546.26,6553.68479,1,1,-7.42479,,,
EF-20,7670,6/1/1993,2273853.574,10437530.5,12,6546.44,6554.386719,1,1,-7.946719,,,
EF-20,8218,12/1/1994,2273853.574,10437530.5,12,6546.12,6553.858076,1,1,-7.738076,,,
EF-20,8522,10/1/1995,2273853.574,10437530.5,12,6546.34,6553.358236,1,1,-7.018236,,,
EF-20,8888,10/1/1996,2273853.574,10437530.5,12,6546.32,6552.754841,1,1,-6.434841,,,
EF-20,9314,12/1/1997,2273853.574,10437530.5,12,6546.04,6552.092018,1,1,-6.052018,,,
EF-20,9679,12/1/1998,2273853.574,10437530.5,12,6545.54,6551.56572,1,1,-6.02572,,,
EF-20,9800,4/1/1999,2273853.574,10437530.5,12,6546.3,6551.399643,1,1,-5.099643,,,
EF-20,10410,12/1/2000,2273853.574,10437530.5,12,6545.39,6550.64933,1,1,-5.25933,,,
EF-20,10714,10/1/2001,2273853.574,10437530.5,12,6545.19,6550.310353,1,1,-5.120353,,,
EF-20,11157,12/18/2002,2273853.574,10437530.5,12,6547.71,6549.839998,1,1,-2.129998,,,
EF-20,11492,11/18/2003,2273853.574,10437530.5,12,6542.64,6549.497086,1,1,-6.857086,,,
EF-20,11886,12/16/2004,2273853.574,10437530.5,12,6545.39,6549.122967,1,1,-3.732967,,,
EF-20,12212,11/7/2005,2273853.574,10437530.5,12,6542.67,6548.854543,1,1,-6.184543,,,
EF-22,6392,12/1/1989,2275170.328,10436322.75,12,6560.29,6570.947635,1,1,-10.657635,,,
EF-22,6757,12/1/1990,2275170.328,10436322.75,12,6564.05,6570.177209,1,1,-6.127209,,,
EF-22,7031,9/1/1991,2275170.328,10436322.75,12,6564.11,6569.436329,1,1,-5.326329,,,
EF-22,7397,9/1/1992,2275170.328,10436322.75,12,6564,6568.762853,1,1,-4.762853,,,
EF-22,7670,6/1/1993,2275170.328,10436322.75,12,6564.21,6569.264648,1,1,-5.054648,,,
EF-22,8218,12/1/1994,2275170.328,10436322.75,12,6563.77,6568.553797,1,1,-4.783797,,,
EF-22,8522,10/1/1995,2275170.328,10436322.75,12,6563.31,6567.829102,1,1,-4.519102,,,
EF-22,8888,10/1/1996,2275170.328,10436322.75,12,6563.09,6566.975444,1,1,-3.885444,,,
EF-22,9314,12/1/1997,2275170.328,10436322.75,12,6562.63,6566.307046,1,1,-3.677046,,,
EF-22,9679,12/1/1998,2275170.328,10436322.75,12,6562.35,6565.932161,1,1,-3.582161,,,
EF-22,9800,4/1/1999,2275170.328,10436322.75,12,6562.63,6565.821767,1,1,-3.191767,,,
EF-22,10410,12/1/2000,2275170.328,10436322.75,12,6561.93,6565.21431,1,1,-3.28431,,,
EF-22,10714,10/1/2001,2275170.328,10436322.75,12,6561.13,6564.847347,1,1,-3.717347,,,
EF-22,10865,3/1/2002,2275170.328,10436322.75,12,6561.01,6564.63363,1,1,-3.62363,,,
EF-22,11298,5/8/2003,2275170.328,10436322.75,12,6560.61,6564.076438,1,1,-3.466438,,,
EF-23,6395,12/4/1989,2276049.841,10435911.97,12,6574.45,6578.562434,1,1,-4.112434,,,
EF-23,6710,10/15/1990,2276049.841,10435911.97,12,6574.26,6577.516374,1,1,-3.256374,,,
EF-23,7116,11/25/1991,2276049.841,10435911.97,12,6573.65,6575.51759,1,1,-1.86759,,,
EF-23,7455,10/29/1992,2276049.841,10435911.97,12,6573.97,6575.143802,1,1,-1.173802,,,
EF-23,7859,12/7/1993,2276049.841,10435911.97,12,6573.47,6575.491671,1,1,-2.021671,,,
EF-23,8230,12/13/1994,2276049.841,10435911.97,12,6572.21,6574.578192,1,1,-2.368192,,,
EF-23,8556,11/4/1995,2276049.841,10435911.97,12,6571.9,6573.427206,1,1,-1.527206,,,
EF-23,8953,12/5/1996,2276049.841,10435911.97,12,6571.45,6572.574632,1,1,-1.124632,,,
EF-23,9342,12/29/1997,2276049.841,10435911.97,12,6567.52,6572.515486,1,1,-4.995486,,,
EF-23,9653,11/5/1998,2276049.841,10435911.97,12,6570.25,6572.445417,1,1,-2.195417,,,
EF-23,10021,11/8/1999,2276049.841,10435911.97,12,6570.9,6572.152648,1,1,-1.252648,,,
EF-23,10387,11/8/2000,2276049.841,10435911.97,12,6570.18,6571.742709,1,1,-1.562709,,,
EF-23,10730,10/17/2001,2276049.841,10435911.97,12,6569.29,6571.074707,1,1,-1.784707,,,
EF-23,11157,12/18/2002,2276049.841,10435911.97,12,6568.87,6570.516836,1,1,-1.646836,,,
EF-23,11492,11/18/2003,2276049.841,10435911.97,12,6567.65,6570.313501,1,1,-2.663501,,,
EF-23,11620,3/25/2004,2276049.841,10435911.97,12,6567.64,6570.231533,1,1,-2.591533,,,
EF-24,6396,12/5/1989,2276561.626,10435169.68,12,6580.16,6582.260516,1,1,-2.100516,,,
EF-24,6707,10/12/1990,2276561.626,10435169.68,12,6548.53,6578.309414,1,1,-29.779414,,,
EF-24,7111,11/20/1991,2276561.626,10435169.68,12,6546.17,6571.42208,1,1,-25.25208,,,
EF-24,7452,10/26/1992,2276561.626,10435169.68,12,6565.96,6572.136043,1,1,-6.176043,,,
EF-24,7865,12/13/1993,2276561.626,10435169.68,12,6561.06,6572.89209,1,1,-11.83209,,,
EF-24,8229,12/12/1994,2276561.626,10435169.68,12,6547.47,6570.293286,1,1,-22.823286,,,
EF-24,8555,11/3/1995,2276561.626,10435169.68,12,6547.75,6567.978633,1,1,-20.228633,,,
EF-24,8945,11/27/1996,2276561.626,10435169.68,12,6541.44,6567.049989,1,1,-25.609989,,,
EF-24,9336,12/23/1997,2276561.626,10435169.68,12,6541.43,6569.245278,1,1,-27.815278,,,
EF-24,9542,7/17/1998,2276561.626,10435169.68,12,6542.26,6570.810533,1,1,-28.550533,,,
EF-24,9869,6/9/1999,2276561.626,10435169.68,12,6554.51,6569.459443,1,1,-14.949443,,,
EF-24,10246,6/20/2000,2276561.626,10435169.68,12,6541.94,6569.755058,1,1,-27.815058,,,
EF-24,11155,12/16/2002,2276561.626,10435169.68,12,6541.56,6566.966096,1,1,-25.406096,,,
EF-24,11491,11/17/2003,2276561.626,10435169.68,12,6544.45,6567.652448,1,1,-23.202448,,,
EF-24,11617,3/22/2004,2276561.626,10435169.68,12,6544.61,6567.638328,1,1,-23.028328,,,
EF-25,6710,10/15/1990,2274743.926,10435815.21,12,6559.22,6568.060505,1,1,-8.840505,,,
EF-25,7116,11/25/1991,2274743.926,10435815.21,12,6559.18,6566.891253,1,1,-7.711253,,,
EF-25,7455,10/29/1992,2274743.926,10435815.21,12,6559.19,6566.457285,1,1,-7.267285,,,
EF-25,7862,12/10/1993,2274743.926,10435815.21,12,6559.15,6566.56343,1,1,-7.41343,,,
EF-25,8232,12/15/1994,2274743.926,10435815.21,12,6558.96,6565.965109,1,1,-7.005109,,,
EF-25,8520,9/29/1995,2274743.926,10435815.21,12,6558.64,6565.241147,1,1,-6.601147,,,
EF-25,8956,12/8/1996,2274743.926,10435815.21,12,6558.12,6564.199807,1,1,-6.079807,,,
EF-25,9343,12/30/1997,2274743.926,10435815.21,12,6556.91,6563.643394,1,1,-6.733394,,,
EF-25,9656,11/8/1998,2274743.926,10435815.21,12,6557.87,6563.366097,1,1,-5.496097,,,
EF-25,10023,11/10/1999,2274743.926,10435815.21,12,6558.29,6563.077861,1,1,-4.787861,,,
EF-25,10393,11/14/2000,2274743.926,10435815.21,12,6557.97,6562.751778,1,1,-4.781778,,,
EF-25,10731,10/18/2001,2274743.926,10435815.21,12,6558.62,6562.367998,1,1,-3.747998,,,
EF-25,11159,12/20/2002,2274743.926,10435815.21,12,6557.35,6561.80396,1,1,-4.45396,,,
EF-25,11494,11/20/2003,2274743.926,10435815.21,12,6556.22,6561.478716,1,1,-5.258716,,,
EF-25,11624,3/29/2004,2274743.926,10435815.21,12,6556.49,6561.384021,1,1,-4.894021,,,
EF-26,6412,12/21/1989,2274048.492,10436100.43,12,6593.32,6559.424208,1,1,33.895792,,,
EF-26,6711,10/16/1990,2274048.492,10436100.43,12,6544.01,6558.889963,1,1,-14.879963,,,
EF-26,7116,11/25/1991,2274048.492,10436100.43,12,6544.31,6558.05173,1,1,-13.74173,,,
EF-26,7455,10/29/1992,2274048.492,10436100.43,12,6544.2,6557.837797,1,1,-13.637797,,,
EF-26,7682,6/13/1993,2274048.492,10436100.43,12,6543.92,6558.149165,1,1,-14.229165,,,
EF-26,8218,12/1/1994,2274048.492,10436100.43,12,6543.82,6557.550115,1,1,-13.730115,,,
EF-26,8522,10/1/1995,2274048.492,10436100.43,12,6543.76,6556.952799,1,1,-13.192799,,,
EF-26,8888,10/1/1996,2274048.492,10436100.43,12,6543.64,6556.169397,1,1,-12.529397,,,
EF-26,9314,12/1/1997,2274048.492,10436100.43,12,6542.38,6555.355835,1,1,-12.975835,,,
EF-26,9679,12/1/1998,2274048.492,10436100.43,12,6543.24,6554.802805,1,1,-11.562805,,,
EF-26,9800,4/1/1999,2274048.492,10436100.43,12,6543.76,6554.642717,1,1,-10.882717,,,
EF-26,10387,11/8/2000,2274048.492,10436100.43,12,6543.69,6553.939961,1,1,-10.249961,,,
EF-26,10714,10/1/2001,2274048.492,10436100.43,12,6543.33,6553.567963,1,1,-10.237963,,,
EF-26,11158,12/19/2002,2274048.492,10436100.43,12,6543.1,6553.026272,1,1,-9.926272,,,
EF-26,11493,11/19/2003,2274048.492,10436100.43,12,6542.83,6552.6323,1,1,-9.8023,,,
EF-26,11620,3/25/2004,2274048.492,10436100.43,12,6542.94,6552.493028,1,1,-9.553028,,,
EF-4,6703,10/8/1990,2274470.524,10431440.41,12,6504.34,6516.764992,1,1,-12.424992,,,
EF-4,7118,11/27/1991,2274470.524,10431440.41,12,6495.89,6509.434785,1,1,-13.544785,,,
EF-4,7460,11/3/1992,2274470.524,10431440.41,12,6498.63,6510.424276,1,1,-11.794276,,,
EF-4,7861,12/9/1993,2274470.524,10431440.41,12,6495.57,6511.329803,1,1,-15.759803,,,
EF-4,8231,12/14/1994,2274470.524,10431440.41,12,6490.94,6506.177627,1,1,-15.237627,,,
EF-4,8516,9/25/1995,2274470.524,10431440.41,12,6484.18,6502.820571,1,1,-18.640571,,,
EF-4,8953,12/5/1996,2274470.524,10431440.41,12,6481.87,6499.112136,1,1,-17.242136,,,
EF-4,9342,12/29/1997,2274470.524,10431440.41,12,6476.16,6497.020048,1,1,-20.860048,,,
EF-4,9654,11/6/1998,2274470.524,10431440.41,12,6472.13,6497.199189,1,1,-25.069189,,,
EF-4,10021,11/8/1999,2274470.524,10431440.41,12,6478.23,6497.097987,1,1,-18.867987,,,
EF-4,10392,11/13/2000,2274470.524,10431440.41,12,6468.22,6494.503324,1,1,-26.283324,,,
EF-4,10730,10/17/2001,2274470.524,10431440.41,12,6465.93,6490.571924,1,1,-24.641924,,,
EF-4,11158,12/19/2002,2274470.524,10431440.41,12,6459.3,6486.509412,1,1,-27.209412,,,
EF-4,11491,11/17/2003,2274470.524,10431440.41,12,6454.63,6484.301077,1,1,-29.671077,,,
